Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
B_{119.0226} Sr_{62.96392} La_{12.01339} ,B_{119.0} Sr_{63.0} La_{12.0} ,36.29237,36.299713,-0.5581158,-0.5577488,194.0
H_{22.02825} B_{15.98015} C_{12.97999} S_{3.956561} Tc_{3.051284} Pd_{3.988977} Sn_{17.02006} La_{19.99469} ,H_{22.0} B_{16.0} C_{13.0} S_{4.0} Tc_{3.0} Pd_{4.0} Sn_{17.0} La_{20.0} ,36.189117,36.29601,-0.8708138,-0.87093896,99.0
H_{11.96131} N_{29.89676} Cr_{40.91884} Xe_{44.00752} La_{29.08219} Gd_{19.16000} Pt_{21.97338} ,H_{12.0} N_{30.0} Cr_{41.0} Xe_{44.0} La_{29.0} Gd_{19.0} Pt_{22.0} ,36.01243,36.28247,-1.4525259,-1.4501048,197.0
B_{7.057489} C_{2.051277} O_{53.07191} Cr_{26.80270} Zr_{16.01827} La_{40.02211} Lu_{18.98254} Pt_{17.99369} ,B_{7.0} C_{2.0} O_{53.0} Cr_{27.0} Zr_{16.0} La_{40.0} Lu_{19.0} Pt_{18.0} ,36.047626,36.21522,-1.0938524,-1.1019448,182.0
B_{28.05628} Ge_{17.95480} Rb_{28.98393} Sr_{13.94853} La_{31.94411} Eu_{7.057876} Pt_{29.08424} Au_{41.97020} ,B_{28.0} Ge_{18.0} Rb_{29.0} Sr_{14.0} La_{32.0} Eu_{7.0} Pt_{29.0} Au_{42.0} ,36.06478,36.172344,-0.5375775,-0.5372328,199.0
B_{41.99806} O_{10.035} Na_{13.07394} Co_{17.02278} As_{16.94841} La_{33.96856} Pr_{7.934428} Pb_{16.01880} ,B_{42.0} O_{10.0} Na_{13.0} Co_{17.0} As_{17.0} La_{34.0} Pr_{8.0} Pb_{16.0} ,36.0462,36.16921,-1.4644502,-1.4658681,157.0
B_{34.99677} Rb_{12.00971} Mo_{6.034941} Xe_{19.00836} Ba_{14.94649} La_{19.03660} Pt_{31.9671} ,B_{35.0} Rb_{12.0} Mo_{6.0} Xe_{19.0} Ba_{15.0} La_{19.0} Pt_{32.0} ,36.070583,36.138058,-0.7040783,-0.7051445,138.0
B_{18.98152} C_{20.01797} N_{19.96516} Sc_{19.03963} La_{45.08167} Pr_{6.968841} Tm_{21.93188} Pt_{42.01331} ,B_{19.0} C_{20.0} N_{20.0} Sc_{19.0} La_{45.0} Pr_{7.0} Tm_{22.0} Pt_{42.0} ,36.04597,36.120216,-1.4979926,-1.4977701,194.0
B_{36.00556} Si_{16.01542} Rb_{20.00315} Sr_{19.01431} La_{33.98829} W_{11.01619} Pt_{27.95705} ,B_{36.0} Si_{16.0} Rb_{20.0} Sr_{19.0} La_{34.0} W_{11.0} Pt_{28.0} ,36.072952,36.09237,-1.0676457,-1.0682327,164.0
N_{36.09443} Xe_{61.98648} Ba_{33.16506} Pr_{20.91673} Pt_{45.83728} ,N_{36.0} Xe_{62.0} Ba_{33.0} Pr_{21.0} Pt_{46.0} ,35.98833,36.085125,-1.6840285,-1.686926,198.0
C_{17.94996} Al_{19.90507} P_{16.99898} Ca_{31.06249} Kr_{58.02245} Dy_{17.05369} Er_{18.9972} Pt_{14.01014} ,C_{18.0} Al_{20.0} P_{17.0} Ca_{31.0} Kr_{58.0} Dy_{17.0} Er_{19.0} Pt_{14.0} ,36.072548,36.075184,-1.130307,-1.1274953,194.0
C_{39.94972} N_{27.03600} Al_{25.99468} Ca_{13.10086} La_{34.88486} Pt_{25.04181} Bi_{9.992056} ,C_{40.0} N_{27.0} Al_{26.0} Ca_{13.0} La_{35.0} Pt_{25.0} Bi_{10.0} ,35.923866,36.067158,-1.506921,-1.5052534,176.0
C_{19.02025} Ge_{40.99056} Kr_{43.02558} Sr_{33.06168} La_{5.928988} Ho_{10.97021} Pt_{39.00272} ,C_{19.0} Ge_{41.0} Kr_{43.0} Sr_{33.0} La_{6.0} Ho_{11.0} Pt_{39.0} ,35.955105,36.038837,-1.2263231,-1.2248626,192.0
Li_{14.00997} Ca_{27.96737} As_{44.00064} La_{30.02901} Pt_{32.98375} Au_{40.00925} ,Li_{14.0} Ca_{28.0} As_{44.0} La_{30.0} Pt_{33.0} Au_{40.0} ,35.98484,35.99625,0.16763063,0.1672557,189.0
Li_{15.07078} C_{63.97632} O_{32.94781} Ca_{20.99783} La_{31.0247} Pt_{14.98254} ,Li_{15.0} C_{64.0} O_{33.0} Ca_{21.0} La_{31.0} Pt_{15.0} ,35.91961,35.97661,-1.8934318,-1.8936803,179.0
B_{92.04571} Sr_{58.95485} Nb_{31.99417} La_{16.00526} ,B_{92.0} Sr_{59.0} Nb_{32.0} La_{16.0} ,35.96449,35.95505,-0.56254745,-0.56236315,199.0
B_{30.03472} O_{37.02914} Rb_{22.06029} Sr_{6.851768} La_{44.98583} Gd_{7.991314} Ho_{7.041718} Pt_{43.00521} ,B_{30.0} O_{37.0} Rb_{22.0} Sr_{7.0} La_{45.0} Gd_{8.0} Ho_{7.0} Pt_{43.0} ,35.818897,35.942024,-1.6995445,-1.702547,199.0
B_{2.995889} Mg_{9.981461} Sc_{22.00142} Sr_{45.02898} La_{17.96949} Lu_{16.02142} Hf_{17.99092} Pt_{24.01039} ,B_{3.0} Mg_{10.0} Sc_{22.0} Sr_{45.0} La_{18.0} Lu_{16.0} Hf_{18.0} Pt_{24.0} ,35.90032,35.920288,0.30004883,0.30016524,156.0
B_{46.08269} C_{6.916958} Mg_{6.983588} Sb_{28.94246} Cs_{8.079884} La_{30.98289} Pt_{7.011515} ,B_{46.0} C_{7.0} Mg_{7.0} Sb_{29.0} Cs_{8.0} La_{31.0} Pt_{7.0} ,35.775486,35.904625,-0.7863669,-0.7857984,135.0
H_{15.13386} C_{17.89111} Ti_{50.91734} Mo_{0.929811} La_{19.34042} Gd_{31.21943} Au_{39.7031} At_{20.86492} ,H_{15.0} C_{18.0} Ti_{51.0} Mo_{1.0} La_{19.0} Gd_{31.0} Au_{40.0} At_{21.0} ,35.667892,35.90294,-0.4306519,-0.4286042,196.0
B_{32.02511} C_{16.98861} Fe_{26.02696} Rb_{23.90376} Ag_{22.97148} La_{47.04783} Au_{25.03622} ,B_{32.0} C_{17.0} Fe_{26.0} Rb_{24.0} Ag_{23.0} La_{47.0} Au_{25.0} ,35.872253,35.897804,-0.8081715,-0.80783486,194.0
H_{14.92989} Ne_{14.96694} P_{33.19311} Fe_{36.13715} Ga_{21.00910} Sn_{20.94038} Cs_{14.92778} Nd_{16.89563} ,H_{15.0} Ne_{15.0} P_{33.0} Fe_{36.0} Ga_{21.0} Sn_{21.0} Cs_{15.0} Nd_{17.0} ,35.881405,35.871864,-1.6277124,-1.6259139,173.0
B_{24.01884} C_{14.00542} Ge_{14.02934} Rb_{15.98399} La_{30.95745} Yb_{7.998204} Ta_{13.98229} Pt_{30.02443} ,B_{24.0} C_{14.0} Ge_{14.0} Rb_{16.0} La_{31.0} Yb_{8.0} Ta_{14.0} Pt_{30.0} ,35.83095,35.87174,-0.95725834,-0.9572175,151.0
C_{23.94945} Si_{29.00297} S_{26.84648} Rb_{13.21816} La_{30.88101} Hf_{17.00507} Pt_{14.14359} Tl_{18.95324} ,C_{24.0} Si_{29.0} S_{27.0} Rb_{13.0} La_{31.0} Hf_{17.0} Pt_{14.0} Tl_{19.0} ,35.919098,35.86986,-1.1331378,-1.1307306,174.0
B_{36.96686} Rb_{19.99765} Sr_{20.06102} Ru_{5.91134} Cd_{14.06010} La_{34.01775} W_{8.02284} Pt_{33.96240} ,B_{37.0} Rb_{20.0} Sr_{20.0} Ru_{6.0} Cd_{14.0} La_{34.0} W_{8.0} Pt_{34.0} ,35.747402,35.86747,-0.56257915,-0.56297237,173.0
B_{6.016276} C_{69.00133} Ca_{34.0439} Ta_{22.94675} Pt_{29.98633} Pb_{36.0054} ,B_{6.0} C_{69.0} Ca_{34.0} Ta_{23.0} Pt_{30.0} Pb_{36.0} ,35.818176,35.83432,-0.9711498,-0.9719581,198.0
B_{18.05267} C_{12.03236} Sr_{3.880408} Mo_{3.030004} Ba_{19.00282} La_{21.01801} Pt_{32.98216} Pb_{33.00155} ,B_{18.0} C_{12.0} Sr_{4.0} Mo_{3.0} Ba_{19.0} La_{21.0} Pt_{33.0} Pb_{33.0} ,35.636024,35.80652,-0.67590016,-0.6799728,143.0
H_{2.985585} B_{26.98508} C_{22.95507} Rb_{12.04450} Zr_{12.97450} Cd_{19.99526} La_{26.04395} Pt_{10.01602} ,H_{3.0} B_{27.0} C_{23.0} Rb_{12.0} Zr_{13.0} Cd_{20.0} La_{26.0} Pt_{10.0} ,35.692135,35.76285,-0.7918443,-0.7935851,134.0
B_{27.07983} C_{26.00022} Mg_{6.941558} Ca_{30.96080} Pm_{14.99272} Ta_{33.00725} Pt_{25.01760} ,B_{27.0} C_{26.0} Mg_{7.0} Ca_{31.0} Pm_{15.0} Ta_{33.0} Pt_{25.0} ,35.664753,35.73768,-0.4313885,-0.4310884,164.0
C_{44.99758} Mn_{13.83858} Ni_{15.90165} La_{50.06778} Ce_{4.191002} Pr_{15.02197} Pt_{21.00172} Bi_{14.97969} ,C_{45.0} Mn_{14.0} Ni_{16.0} La_{50.0} Ce_{4.0} Pr_{15.0} Pt_{21.0} Bi_{15.0} ,35.307262,35.716675,-1.0374093,-1.0398579,180.0
B_{9.017035} Cl_{11.01481} Ca_{8.0042} Nb_{2.998775} Tm_{1.987065} Ta_{5.982759} Os_{4.99535} ,B_{9.0} Cl_{11.0} Ca_{8.0} Nb_{3.0} Tm_{2.0} Ta_{6.0} Os_{5.0} ,35.702293,35.697395,0.10239017,0.10270646,44.0
C_{60.00895} N_{20.91955} Ca_{34.06395} Ge_{16.99185} Dy_{7.059986} Pt_{32.95570} ,C_{60.0} N_{21.0} Ca_{34.0} Ge_{17.0} Dy_{7.0} Pt_{33.0} ,35.531853,35.610428,-0.8765829,-0.8795314,172.0
C_{40.90089} V_{25.04563} Mn_{35.11653} La_{25.96521} Sm_{12.00167} Tm_{24.97007} ,C_{41.0} V_{25.0} Mn_{35.0} La_{26.0} Sm_{12.0} Tm_{25.0} ,35.649643,35.600918,-0.8191573,-0.81631196,164.0
Be_{17.97149} B_{31.07293} C_{17.11304} Co_{30.95697} La_{40.04288} Gd_{9.866483} Ho_{4.948063} Pt_{35.02814} ,Be_{18.0} B_{31.0} C_{17.0} Co_{31.0} La_{40.0} Gd_{10.0} Ho_{5.0} Pt_{35.0} ,35.323856,35.5879,-0.5923827,-0.5929227,187.0
B_{51.98504} Si_{26.07973} P_{31.97709} Ti_{5.005598} Sr_{40.0238} La_{8.99247} Pt_{34.93626} ,B_{52.0} Si_{26.0} P_{32.0} Ti_{5.0} Sr_{40.0} La_{9.0} Pt_{35.0} ,35.525368,35.54068,-0.84627414,-0.8464729,199.0
N_{45.01436} Rb_{24.07800} La_{33.00161} Gd_{14.89030} W_{27.01631} Pt_{24.99939} ,N_{45.0} Rb_{24.0} La_{33.0} Gd_{15.0} W_{27.0} Pt_{25.0} ,35.407585,35.53834,-2.0362935,-2.0359855,169.0
B_{23.88844} C_{82.82408} Ca_{32.98861} La_{8.280054} Pt_{24.05116} Po_{7.967632} ,B_{24.0} C_{83.0} Ca_{33.0} La_{8.0} Pt_{24.0} Po_{8.0} ,35.4903,35.532307,-0.84442556,-0.84872687,180.0
C_{30.09588} Co_{20.96149} Ge_{15.02759} La_{26.89902} Pt_{29.016} ,C_{30.0} Co_{21.0} Ge_{15.0} La_{27.0} Pt_{29.0} ,35.59079,35.519966,-1.0737201,-1.0716535,122.0
Li_{17.9894} B_{29.0116} C_{8.977004} Mg_{11.01438} Te_{16.00883} La_{27.01021} Pr_{10.98294} Pt_{18.00562} ,Li_{18.0} B_{29.0} C_{9.0} Mg_{11.0} Te_{16.0} La_{27.0} Pr_{11.0} Pt_{18.0} ,35.49599,35.51576,-0.44746202,-0.44728133,139.0
B_{31.00319} C_{31.97269} Kr_{31.00817} Sr_{34.04131} Tc_{22.01741} La_{11.97716} Hg_{17.98005} ,B_{31.0} C_{32.0} Kr_{31.0} Sr_{34.0} Tc_{22.0} La_{12.0} Hg_{18.0} ,35.48517,35.509483,-0.9714186,-0.97115844,180.0
B_{50.78204} As_{23.05526} Rb_{21.07324} La_{19.99815} Pm_{26.00746} Sm_{4.052879} Lu_{9.045266} Pt_{17.98568} ,B_{51.0} As_{23.0} Rb_{21.0} La_{20.0} Pm_{26.0} Sm_{4.0} Lu_{9.0} Pt_{18.0} ,35.434402,35.502026,-0.7828904,-0.78208953,172.0
B_{26.00759} Cl_{14.00275} Rb_{18.97830} La_{32.03482} Nd_{8.931982} Re_{18.06020} Pt_{31.98433} ,B_{26.0} Cl_{14.0} Rb_{19.0} La_{32.0} Nd_{9.0} Re_{18.0} Pt_{32.0} ,35.404533,35.4807,-0.87774485,-0.8796802,150.0
B_{19.01941} Sc_{5.973102} Co_{12.99772} Ge_{18.99545} La_{28.05258} Pr_{4.981381} Pt_{21.98034} ,B_{19.0} Sc_{6.0} Co_{13.0} Ge_{19.0} La_{28.0} Pr_{5.0} Pt_{22.0} ,35.40462,35.46502,-1.1345259,-1.1354924,112.0
B_{34.00113} C_{19.98258} Rb_{18.01371} La_{33.93893} Yb_{11.00397} Pt_{30.05414} Pb_{34.00552} ,B_{34.0} C_{20.0} Rb_{18.0} La_{34.0} Yb_{11.0} Pt_{30.0} Pb_{34.0} ,35.413147,35.46017,-1.000541,-1.0003586,181.0
B_{22.99934} C_{7.161885} Cl_{27.17925} V_{24.13526} Sr_{2.851885} La_{31.87164} Pt_{27.80073} ,B_{23.0} C_{7.0} Cl_{27.0} V_{24.0} Sr_{3.0} La_{32.0} Pt_{28.0} ,35.169735,35.45313,-0.29189658,-0.29543325,144.0
C_{47.96791} O_{14.15376} In_{12.97500} Ba_{2.115449} La_{27.84007} Pt_{15.94779} ,C_{48.0} O_{14.0} In_{13.0} Ba_{2.0} La_{28.0} Pt_{16.0} ,36.034435,35.421993,-1.1454229,-1.1503963,121.0
Be_{16.79774} C_{35.98541} Cl_{38.04883} Cs_{20.20292} La_{32.15950} Os_{31.80558} ,Be_{17.0} C_{36.0} Cl_{38.0} Cs_{20.0} La_{32.0} Os_{32.0} ,34.92238,35.396427,-1.1264163,-1.1253302,175.0
H_{44.05869} Fe_{48.88059} Br_{31.94784} La_{41.11287} ,H_{44.0} Fe_{49.0} Br_{32.0} La_{41.0} ,35.388515,35.31246,-0.39315203,-0.39378494,166.0
Be_{13.99022} B_{28.01871} C_{76.05006} Mo_{7.041048} La_{49.0306} Pt_{20.86935} ,Be_{14.0} B_{28.0} C_{76.0} Mo_{7.0} La_{49.0} Pt_{21.0} ,35.16409,35.27434,-1.1449308,-1.1465298,195.0
N_{57.95551} P_{52.95875} Br_{12.00629} Cs_{9.001768} La_{43.03906} Pt_{9.038605} ,N_{58.0} P_{53.0} Br_{12.0} Cs_{9.0} La_{43.0} Pt_{9.0} ,35.22267,35.274166,-3.2023222,-3.2015588,184.0
B_{51.00025} O_{32.04505} Ba_{32.99185} Nd_{19.0976} Eu_{15.85411} Dy_{8.038313} Ho_{10.99359} Pt_{20.97921} ,B_{51.0} O_{32.0} Ba_{33.0} Nd_{19.0} Eu_{16.0} Dy_{8.0} Ho_{11.0} Pt_{21.0} ,35.115883,35.265354,-1.9965371,-1.9978408,191.0
B_{23.95147} C_{85.88825} Ca_{40.84178} La_{11.34654} Pt_{29.97194} ,B_{24.0} C_{86.0} Ca_{41.0} La_{11.0} Pt_{30.0} ,35.276062,35.2473,-0.7549522,-0.75978756,192.0
C_{81.87491} Ni_{8.268246} In_{43.05556} Cs_{13.03884} La_{44.76244} ,C_{82.0} Ni_{8.0} In_{43.0} Cs_{13.0} La_{45.0} ,35.026905,35.246254,-0.92718434,-0.9266614,191.0
B_{25.89872} C_{11.04253} Sc_{26.06386} Rb_{30.97386} Sn_{13.06110} La_{38.97100} Tb_{11.01534} Pt_{32.97358} ,B_{26.0} C_{11.0} Sc_{26.0} Rb_{31.0} Sn_{13.0} La_{39.0} Tb_{11.0} Pt_{33.0} ,35.17568,35.24168,-0.5736898,-0.5708265,190.0
N_{72.99022} P_{60.01286} Ba_{34.06628} La_{8.9902} Sm_{18.94044} ,N_{73.0} P_{60.0} Ba_{34.0} La_{9.0} Sm_{19.0} ,35.20064,35.240585,-3.272658,-3.2727892,195.0
B_{32.09584} Si_{21.02252} Cl_{31.96192} Sc_{11.98902} Sr_{27.97794} La_{4.987326} Tm_{15.95778} Pt_{43.00763} ,B_{32.0} Si_{21.0} Cl_{32.0} Sc_{12.0} Sr_{28.0} La_{5.0} Tm_{16.0} Pt_{43.0} ,35.21067,35.220806,-0.3284949,-0.34112427,189.0
B_{30.96605} C_{47.05637} Al_{20.13659} Rb_{14.94173} Mo_{4.034922} Xe_{15.99534} La_{40.86898} ,B_{31.0} C_{47.0} Al_{20.0} Rb_{15.0} Mo_{4.0} Xe_{16.0} La_{41.0} ,35.041786,35.218315,-1.5995687,-1.6018553,174.0
B_{23.02883} C_{23.04593} Si_{6.004124} Rb_{8.922821} La_{18.99698} Ho_{4.017666} Pt_{9.981466} Pb_{8.002168} ,B_{23.0} C_{23.0} Si_{6.0} Rb_{9.0} La_{19.0} Ho_{4.0} Pt_{10.0} Pb_{8.0} ,35.099983,35.19623,-1.5135089,-1.5136968,102.0
Li_{8.053262} B_{36.90656} Al_{40.00276} Cu_{22.93637} Y_{9.997416} Te_{9.981172} La_{15.01711} Pt_{27.10533} ,Li_{8.0} B_{37.0} Al_{40.0} Cu_{23.0} Y_{10.0} Te_{10.0} La_{15.0} Pt_{27.0} ,35.155273,35.195175,-0.13361967,-0.13398626,170.0
N_{36.01754} Cu_{49.97005} Ga_{16.95873} Cs_{24.77476} Nd_{21.21828} Ho_{26.06062} ,N_{36.0} Cu_{50.0} Ga_{17.0} Cs_{25.0} Nd_{21.0} Ho_{26.0} ,35.42742,35.194893,-1.900657,-1.9003247,175.0
B_{19.15294} Al_{18.94453} Cu_{25.20099} Ge_{5.920164} La_{29.06866} Dy_{19.89642} Er_{14.91991} Tm_{24.89636} ,B_{19.0} Al_{19.0} Cu_{25.0} Ge_{6.0} La_{29.0} Dy_{20.0} Er_{15.0} Tm_{25.0} ,34.631805,35.163414,-1.525122,-1.5276537,158.0
Be_{30.06082} C_{28.15403} O_{29.98503} Tc_{40.88822} Yb_{21.06758} Pt_{31.84428} ,Be_{30.0} C_{28.0} O_{30.0} Tc_{41.0} Yb_{21.0} Pt_{32.0} ,35.22508,35.159813,-0.8241021,-0.82697105,182.0
B_{32.02620} C_{7.012966} Ne_{32.02213} Sn_{21.04115} Ba_{2.982394} La_{46.94354} Pt_{31.98394} Tl_{9.987678} ,B_{32.0} C_{7.0} Ne_{32.0} Sn_{21.0} Ba_{3.0} La_{47.0} Pt_{32.0} Tl_{10.0} ,35.08845,35.12623,-0.89229596,-0.8926133,184.0
B_{20.00475} C_{6.018604} Mg_{2.00108} Co_{18.01475} Cs_{5.018072} La_{20.00096} Ho_{4.939678} Pt_{6.002091} ,B_{20.0} C_{6.0} Mg_{2.0} Co_{18.0} Cs_{5.0} La_{20.0} Ho_{5.0} Pt_{6.0} ,35.0088,35.100613,-0.97589964,-0.9758934,82.0
B_{27.97589} C_{26.94534} Sc_{7.131112} Rb_{15.00148} La_{35.03063} Hf_{7.944796} W_{26.95256} Po_{41.01815} ,B_{28.0} C_{27.0} Sc_{7.0} Rb_{15.0} La_{35.0} Hf_{8.0} W_{27.0} Po_{41.0} ,34.94565,35.069378,-0.92230964,-0.9189362,188.0
C_{40.9741} Co_{30.00164} Se_{11.01081} La_{24.01414} Nd_{17.99006} Yb_{13.99882} Pt_{24.01041} ,C_{41.0} Co_{30.0} Se_{11.0} La_{24.0} Nd_{18.0} Yb_{14.0} Pt_{24.0} ,35.048866,35.060913,-0.6503501,-0.6498098,162.0
B_{25.03481} O_{15.04629} Sn_{38.87412} Sb_{10.07955} La_{34.95577} Pm_{20.94727} Pt_{17.04581} Au_{13.01636} ,B_{25.0} O_{15.0} Sn_{39.0} Sb_{10.0} La_{35.0} Pm_{21.0} Pt_{17.0} Au_{13.0} ,35.053463,35.053097,-1.5251261,-1.5232247,175.0
B_{41.00428} C_{17.87985} N_{9.91939} Co_{24.02456} Nb_{23.08882} La_{40.23599} Pt_{25.92381} Pb_{8.923288} ,B_{41.0} C_{18.0} N_{10.0} Co_{24.0} Nb_{23.0} La_{40.0} Pt_{26.0} Pb_{9.0} ,34.96617,35.0484,-0.9791811,-0.9815838,191.0
B_{24.91994} C_{25.08642} Ca_{8.929653} Cu_{45.14076} Sr_{6.85747} La_{48.11764} Ho_{8.948115} ,B_{25.0} C_{25.0} Ca_{9.0} Cu_{45.0} Sr_{7.0} La_{48.0} Ho_{9.0} ,34.97303,35.041046,-1.1617095,-1.1631132,168.0
B_{44.92011} Si_{8.104978} Ba_{3.135728} La_{41.90571} Os_{16.94803} Pt_{17.01759} Bi_{7.994212} Rn_{35.97363} ,B_{45.0} Si_{8.0} Ba_{3.0} La_{42.0} Os_{17.0} Pt_{17.0} Bi_{8.0} Rn_{36.0} ,34.97914,35.03925,-1.0482931,-1.0508624,176.0
B_{22.93762} C_{10.91412} Cl_{34.98104} Pd_{29.07830} Sn_{26.04876} La_{40.02517} Pt_{14.01494} ,B_{23.0} C_{11.0} Cl_{35.0} Pd_{29.0} Sn_{26.0} La_{40.0} Pt_{14.0} ,34.92761,35.030663,-1.3337708,-1.3338146,178.0
C_{35.98795} N_{55.04486} P_{18.98267} Ce_{36.17206} Pr_{2.891955} Tb_{8.964951} Er_{8.974476} Pt_{28.98107} ,C_{36.0} N_{55.0} P_{19.0} Ce_{36.0} Pr_{3.0} Tb_{9.0} Er_{9.0} Pt_{29.0} ,34.803486,35.015076,-2.2977939,-2.297975,196.0
B_{33.03659} Ge_{12.99765} Rb_{11.00380} Mo_{38.91969} Sb_{21.00218} La_{25.96383} Lu_{19.96067} Pt_{11.11555} ,B_{33.0} Ge_{13.0} Rb_{11.0} Mo_{39.0} Sb_{21.0} La_{26.0} Lu_{20.0} Pt_{11.0} ,34.866474,35.010178,-0.2215432,-0.22163455,174.0
C_{50.03450} N_{21.04932} Ca_{20.94205} La_{42.07879} Pr_{21.98604} Ta_{24.87481} At_{16.03447} ,C_{50.0} N_{21.0} Ca_{21.0} La_{42.0} Pr_{22.0} Ta_{25.0} At_{16.0} ,34.837013,35.001694,-1.4629906,-1.4659957,197.0
B_{46.92001} Mg_{12.96619} Ca_{24.02448} La_{16.98441} Nd_{14.06750} Gd_{14.95850} Pt_{46.99813} Pb_{21.08073} ,B_{47.0} Mg_{13.0} Ca_{24.0} La_{17.0} Nd_{14.0} Gd_{15.0} Pt_{47.0} Pb_{21.0} ,34.968067,34.969833,-0.5829391,-0.58303124,198.0
N_{32.14970} Sr_{4.12702} Xe_{44.01018} La_{40.99047} Tm_{13.85929} Pt_{40.86334} ,N_{32.0} Sr_{4.0} Xe_{44.0} La_{41.0} Tm_{14.0} Pt_{41.0} ,34.96277,34.968487,-1.7904845,-1.7962673,176.0
B_{14.06047} O_{20.00221} Rb_{21.11185} Sn_{19.99968} La_{26.01016} Nd_{10.94413} Dy_{13.92662} Re_{35.94485} ,B_{14.0} O_{20.0} Rb_{21.0} Sn_{20.0} La_{26.0} Nd_{11.0} Dy_{14.0} Re_{36.0} ,34.710396,34.964092,-1.6772239,-1.6758407,162.0
B_{25.04815} C_{62.92036} Ca_{31.05154} La_{8.911066} Pt_{26.06887} ,B_{25.0} C_{63.0} Ca_{31.0} La_{9.0} Pt_{26.0} ,34.924915,34.953793,-0.6556352,-0.6528907,154.0
B_{24.01071} C_{48.98642} Cr_{29.98505} Rb_{2.923536} Sr_{15.98786} Tc_{24.0695} Cd_{16.06023} Pt_{27.97667} ,B_{24.0} C_{49.0} Cr_{30.0} Rb_{3.0} Sr_{16.0} Tc_{24.0} Cd_{16.0} Pt_{28.0} ,34.946995,34.93438,-0.13719203,-0.13096778,190.0
B_{7.910526} Kr_{18.95059} Nb_{32.05904} La_{34.99184} Ta_{23.03625} W_{14.98297} Pt_{38.08293} Bi_{6.985836} ,B_{8.0} Kr_{19.0} Nb_{32.0} La_{35.0} Ta_{23.0} W_{15.0} Pt_{38.0} Bi_{7.0} ,34.77595,34.900185,0.02685759,0.027820708,177.0
B_{33.99801} Si_{35.99619} Ge_{14.04476} Rb_{16.92349} Mo_{9.994013} La_{39.00982} Pt_{33.05379} Pb_{8.979908} ,B_{34.0} Si_{36.0} Ge_{14.0} Rb_{17.0} Mo_{10.0} La_{39.0} Pt_{33.0} Pb_{9.0} ,34.827072,34.881798,-1.6382669,-1.6378119,192.0
H_{21.03130} C_{22.96055} Cr_{20.96965} Sr_{4.928952} La_{21.04848} Bi_{7.06106} ,H_{21.0} C_{23.0} Cr_{21.0} Sr_{5.0} La_{21.0} Bi_{7.0} ,34.77144,34.88117,-1.031463,-1.0323731,98.0
B_{20.02367} N_{25.86081} Rb_{22.16090} La_{36.99147} Tb_{6.017152} Dy_{4.889778} Pt_{30.05621} ,B_{20.0} N_{26.0} Rb_{22.0} La_{37.0} Tb_{6.0} Dy_{5.0} Pt_{30.0} ,34.98884,34.88108,-1.7292751,-1.7239571,146.0
B_{23.00645} C_{11.97884} Cr_{19.01453} Sb_{39.93872} La_{38.04127} Tm_{17.00683} Ta_{14.00332} Pt_{26.00999} ,B_{23.0} C_{12.0} Cr_{19.0} Sb_{40.0} La_{38.0} Tm_{17.0} Ta_{14.0} Pt_{26.0} ,34.827965,34.860344,-0.33538523,-0.33571577,189.0
Li_{16.99638} B_{31.97401} La_{16.01667} Pr_{8.003765} Pt_{12.00478} Rn_{29.00439} ,Li_{17.0} B_{32.0} La_{16.0} Pr_{8.0} Pt_{12.0} Rn_{29.0} ,34.835255,34.846504,-0.3445664,-0.3451282,114.0
B_{40.93470} V_{19.02052} Co_{12.00682} Cu_{9.055426} Xe_{13.98427} La_{37.01429} Nd_{18.02841} Pt_{40.95554} ,B_{41.0} V_{19.0} Co_{12.0} Cu_{9.0} Xe_{14.0} La_{37.0} Nd_{18.0} Pt_{41.0} ,34.784225,34.84501,-0.6143692,-0.6144625,191.0
Li_{10.96583} B_{18.02924} O_{25.00863} Pd_{45.98920} Cs_{30.03156} La_{24.02209} Ho_{27.93631} Pt_{10.01711} ,Li_{11.0} B_{18.0} O_{25.0} Pd_{46.0} Cs_{30.0} La_{24.0} Ho_{28.0} Pt_{10.0} ,34.79254,34.839397,-1.7186714,-1.7197932,192.0
B_{31.98974} C_{14.96232} Rb_{23.02732} La_{33.02181} Tm_{15.01484} Yb_{21.02375} W_{15.96632} Pt_{37.99388} ,B_{32.0} C_{15.0} Rb_{23.0} La_{33.0} Tm_{15.0} Yb_{21.0} W_{16.0} Pt_{38.0} ,34.823753,34.837967,-0.7314858,-0.7300159,193.0
B_{26.01463} C_{25.98976} Rb_{13.96375} La_{25.00233} Yb_{23.02008} Pt_{26.00943} ,B_{26.0} C_{26.0} Rb_{14.0} La_{25.0} Yb_{23.0} Pt_{26.0} ,34.80934,34.82968,-0.9688788,-0.9686837,140.0
B_{12.97943} C_{21.98336} Rb_{9.004424} Nb_{7.992159} La_{22.01117} Pt_{10.03275} Pb_{18.99670} ,B_{13.0} C_{22.0} Rb_{9.0} Nb_{8.0} La_{22.0} Pt_{10.0} Pb_{19.0} ,34.774086,34.81819,-1.3669379,-1.3660166,103.0
