formula,atom_dict,valid_sample_bools,pred_Tc,pred_ef,Ef_bools,elecneg_bools,neutral_bools,all_True_bools
H11.0B46.0Kr33.0La18.0Tb11.0Ho11.0Pt32.0,"{'B': 46.0, 'H': 11.0, 'Ho': 11.0, 'Kr': 33.0, 'La': 18.0, 'Pt': 32.0, 'Tb': 11.0}",True,19.988752,-0.74426705,True,False,False,False
B47.0O19.0K36.0Cr16.0La8.0Ce20.0Ho13.0Pt30.0,"{'B': 47.0, 'Ce': 20.0, 'Cr': 16.0, 'Ho': 13.0, 'K': 36.0, 'La': 8.0, 'O': 19.0, 'Pt': 30.0}",True,19.978245,-1.23583,True,False,True,False
B16.0C74.0La36.0Os17.0Pt10.0Bi15.0,"{'B': 16.0, 'Bi': 15.0, 'C': 74.0, 'La': 36.0, 'Os': 17.0, 'Pt': 10.0}",True,20.006924,-1.0757672,True,True,True,True
B25.0Mg9.0Si22.0Cl33.0Ge28.0Xe22.0Ba25.0Tl16.0,"{'B': 25.0, 'Ba': 25.0, 'Cl': 33.0, 'Ge': 28.0, 'Mg': 9.0, 'Si': 22.0, 'Tl': 16.0, 'Xe': 22.0}",True,19.99532,-1.6002446,True,False,True,False
B109.0C10.0Cs23.0Gd8.0Dy13.0Pt13.0,"{'B': 109.0, 'C': 10.0, 'Cs': 23.0, 'Dy': 13.0, 'Gd': 8.0, 'Pt': 13.0}",True,19.493912,-0.24897988,True,False,False,False
He20.0B36.0O20.0Co20.0Ni5.0La22.0Gd19.0Pt23.0,"{'B': 36.0, 'Co': 20.0, 'Gd': 19.0, 'He': 20.0, 'La': 22.0, 'Ni': 5.0, 'O': 20.0, 'Pt': 23.0}",True,19.967865,-1.2802109,True,False,False,False
B52.0C6.0Ge29.0Y21.0La34.0Pt15.0,"{'B': 52.0, 'C': 6.0, 'Ge': 29.0, 'La': 34.0, 'Pt': 15.0, 'Y': 21.0}",True,19.996101,-0.92382544,True,False,True,False
N29.0Si25.0Mo29.0La12.0Ho24.0Er8.0,"{'Er': 8.0, 'Ho': 24.0, 'La': 12.0, 'Mo': 29.0, 'N': 29.0, 'Si': 25.0}",True,19.951382,-2.176116,True,True,True,True
N45.0P29.0Cs21.0Gd25.0Pt11.0,"{'Cs': 21.0, 'Gd': 25.0, 'N': 45.0, 'P': 29.0, 'Pt': 11.0}",True,19.98524,-3.1527095,True,True,True,True
B26.0C40.0O26.0K25.0Gd18.0Er13.0Pt40.0,"{'B': 26.0, 'C': 40.0, 'Er': 13.0, 'Gd': 18.0, 'K': 25.0, 'O': 26.0, 'Pt': 40.0}",True,19.94957,-1.5588716,True,False,True,False
C20.0O38.0Rb5.0Sm13.0Ho40.0Er15.0Pt13.0,"{'C': 20.0, 'Er': 15.0, 'Ho': 40.0, 'O': 38.0, 'Pt': 13.0, 'Rb': 5.0, 'Sm': 13.0}",True,19.927752,-2.3630266,True,True,True,True
H31.0B20.0C13.0N19.0La37.0Pr12.0Nd3.0Lu28.0,"{'B': 20.0, 'C': 13.0, 'H': 31.0, 'La': 37.0, 'Lu': 28.0, 'N': 19.0, 'Nd': 3.0, 'Pr': 12.0}",True,19.816952,-1.0285408,True,False,False,False
H13.0B44.0C34.0Cl50.0La17.0Pb10.0,"{'B': 44.0, 'C': 34.0, 'Cl': 50.0, 'H': 13.0, 'La': 17.0, 'Pb': 10.0}",True,19.976254,-0.8426953,True,False,True,False
B12.0Cr9.0Xe15.0La13.0Pt9.0,"{'B': 12.0, 'Cr': 9.0, 'La': 13.0, 'Pt': 9.0, 'Xe': 15.0}",True,19.904587,-0.4746673,True,False,False,False
O30.0Ni15.0As35.0Cs21.0La56.0Er14.0Pt6.0Au14.0,"{'As': 35.0, 'Au': 14.0, 'Cs': 21.0, 'Er': 14.0, 'La': 56.0, 'Ni': 15.0, 'O': 30.0, 'Pt': 6.0}",True,19.893522,-2.0308084,True,True,True,True
H20.0B29.0C29.0Sc31.0Zr4.0La32.0Pt7.0Bi15.0,"{'B': 29.0, 'Bi': 15.0, 'C': 29.0, 'H': 20.0, 'La': 32.0, 'Pt': 7.0, 'Sc': 31.0, 'Zr': 4.0}",True,19.917713,-0.72418314,True,True,True,True
B20.0C83.0K12.0Rb28.0Gd13.0Dy12.0Ho20.0,"{'B': 20.0, 'C': 83.0, 'Dy': 12.0, 'Gd': 13.0, 'Ho': 20.0, 'K': 12.0, 'Rb': 28.0}",True,19.948097,-1.6761373,True,False,True,False
B13.0N52.0Ru67.0La22.0Nd22.0Dy15.0,"{'B': 13.0, 'Dy': 15.0, 'La': 22.0, 'N': 52.0, 'Nd': 22.0, 'Ru': 67.0}",True,19.905766,-1.8890401,True,True,True,True
H34.0C23.0Sc17.0Nb4.0In25.0La34.0Pt38.0,"{'C': 23.0, 'H': 34.0, 'In': 25.0, 'La': 34.0, 'Nb': 4.0, 'Pt': 38.0, 'Sc': 17.0}",True,19.716621,-0.7751219,True,True,True,True
H26.0C37.0In14.0La49.0Gd17.0W26.0,"{'C': 37.0, 'Gd': 17.0, 'H': 26.0, 'In': 14.0, 'La': 49.0, 'W': 26.0}",True,19.700573,-1.4115475,True,False,True,False
B89.0C15.0La25.0Tb15.0Yb20.0Pt20.0,"{'B': 89.0, 'C': 15.0, 'La': 25.0, 'Pt': 20.0, 'Tb': 15.0, 'Yb': 20.0}",True,19.762096,-0.41075474,True,False,False,False
B16.0C16.0Fe7.0La26.0Dy11.0Pt16.0Pb16.0,"{'B': 16.0, 'C': 16.0, 'Dy': 11.0, 'Fe': 7.0, 'La': 26.0, 'Pb': 16.0, 'Pt': 16.0}",True,19.591389,-0.9139908,True,False,True,False
B27.0Ca17.0Ni7.0Sr10.0La34.0Pt38.0Tl9.0,"{'B': 27.0, 'Ca': 17.0, 'La': 34.0, 'Ni': 7.0, 'Pt': 38.0, 'Sr': 10.0, 'Tl': 9.0}",True,19.783005,-0.37301546,True,False,False,False
C27.0Na14.0P12.0Ni14.0Ga26.0La26.0Gd23.0Pt9.0,"{'C': 27.0, 'Ga': 26.0, 'Gd': 23.0, 'La': 26.0, 'Na': 14.0, 'Ni': 14.0, 'P': 12.0, 'Pt': 9.0}",True,19.814806,-1.7094852,True,True,True,True
B29.0C21.0N29.0Tb9.0Dy76.0Tm18.0,"{'B': 29.0, 'C': 21.0, 'Dy': 76.0, 'N': 29.0, 'Tb': 9.0, 'Tm': 18.0}",True,19.896261,-2.1597233,True,False,False,False
B25.0C25.0Al11.0Kr14.0La25.0Er67.0,"{'Al': 11.0, 'B': 25.0, 'C': 25.0, 'Er': 67.0, 'Kr': 14.0, 'La': 25.0}",True,19.756062,-1.6230372,True,False,False,False
B82.0C30.0Mg3.0Sc10.0Cs15.0La51.0,"{'B': 82.0, 'C': 30.0, 'Cs': 15.0, 'La': 51.0, 'Mg': 3.0, 'Sc': 10.0}",True,19.87695,-0.76819193,True,False,False,False
B19.0C49.0La19.0Pm6.0Pt19.0,"{'B': 19.0, 'C': 49.0, 'La': 19.0, 'Pm': 6.0, 'Pt': 19.0}",True,19.63411,-0.9260259,True,False,False,False
H22.0B22.0C91.0Y20.0La41.0,"{'B': 22.0, 'C': 91.0, 'H': 22.0, 'La': 41.0, 'Y': 20.0}",True,19.753193,-0.94865924,True,False,False,False
B42.0C35.0P21.0Mo20.0Cs8.0La35.0Eu27.0Pt8.0,"{'B': 42.0, 'C': 35.0, 'Cs': 8.0, 'Eu': 27.0, 'La': 35.0, 'Mo': 20.0, 'P': 21.0, 'Pt': 8.0}",True,19.72412,-1.5594727,True,True,True,True
Li18.0C19.0N20.0La26.0Ce8.0Tb11.0Yb20.0Pt27.0,"{'C': 19.0, 'Ce': 8.0, 'La': 26.0, 'Li': 18.0, 'N': 20.0, 'Pt': 27.0, 'Tb': 11.0, 'Yb': 20.0}",True,19.480091,-0.98590153,True,True,True,True
